"","x"
"1","TORNADO"
"2","TSTM WIND"
"3","HAIL"
"4","FREEZING RAIN"
"5","SNOW"
"6","ICE STORM FLASH FLOOD"
"7","SNOW ICE"
"8","WINTER STORM"
"9","HURRICANE OPAL HIGH WINDS"
"10","THUNDERSTORM WINDS"
"11","RECORD COLD"
"12","HURRICANE ERIN"
"13","HURRICANE OPAL"
"14","HEAVY RAIN"
"15","LIGHTNING"
"16","THUNDERSTORM WIND"
"17","DENSE FOG"
"18","RIP CURRENT"
"19","THUNDERSTORM WINS"
"20","FLASH FLOOD"
"21","FLASH FLOODING"
"22","HIGH WINDS"
"23","FUNNEL CLOUD"
"24","TORNADO F"
"25","THUNDERSTORM WINDS LIGHTNING"
"26","THUNDERSTORM WINDS HAIL"
"27","HEAT"
"28","WIND"
"29","LIGHTING"
"30","HEAVY RAINS"
"31","LIGHTNING AND HEAVY RAIN"
"32","FUNNEL"
"33","WALL CLOUD"
"34","FLOODING"
"35","FLOOD"
"36","COLD"
"37","HEAVY RAIN LIGHTNING"
"38","FLASH FLOODING THUNDERSTORM WI"
"39","WALL CLOUD FUNNEL CLOUD"
"40","THUNDERSTORM"
"41","WATERSPOUT"
"42","EXTREME COLD"
"43","LIGHTNING HEAVY RAIN"
"44","HIGH WIND"
"45","BLIZZARD"
"46","BLIZZARD WEATHER"
"47","WIND CHILL"
"48","BREAKUP FLOODING"
"49","HIGH WIND BLIZZARD"
"50","RIVER FLOOD"
"51","HEAVY SNOW"
"52","FREEZE"
"53","COASTAL FLOOD"
"54","HIGH WIND AND HIGH TIDES"
"55","HIGH WIND BLIZZARD FREEZING RA"
"56","HIGH TIDES"
"57","HIGH WIND AND HEAVY SNOW"
"58","RECORD COLD AND HIGH WIND"
"59","RECORD HIGH TEMPERATURE"
"60","RECORD HIGH"
"61","HIGH WINDS HEAVY RAINS"
"62","ICE STORM"
"63","BLIZZARD HIGH WIND"
"64","HIGH WIND LOW WIND CHILL"
"65","HEAVY SNOW HIGH"
"66","RECORD LOW"
"67","HIGH WINDS AND WIND CHILL"
"68","HEAVY SNOW HIGH WINDS FREEZING"
"69","LOW TEMPERATURE RECORD"
"70","AVALANCHE"
"71","MARINE MISHAP"
"72","WIND CHILL HIGH WIND"
"73","HIGH WIND WIND CHILL BLIZZARD"
"74","HIGH WIND WIND CHILL"
"75","HIGH WIND HEAVY SNOW"
"76","HIGH TEMPERATURE RECORD"
"77","FLOOD WATCH"
"78","RECORD HIGH TEMPERATURES"
"79","HIGH WIND SEAS"
"80","HIGH WINDS HEAVY RAIN"
"81","HIGH SEAS"
"82","SEVERE TURBULENCE"
"83","RECORD RAINFALL"
"84","RECORD SNOWFALL"
"85","RECORD WARMTH"
"86","HEAVY SNOW WIND"
"87","EXTREME HEAT"
"88","WIND DAMAGE"
"89","DUST STORM"
"90","APACHE COUNTY"
"91","SLEET"
"92","HAIL STORM"
"93","FUNNEL CLOUDS"
"94","FLASH FLOODS"
"95","DUST DEVIL"
"96","EXCESSIVE HEAT"
"97","THUNDERSTORM WINDS FUNNEL CLOU"
"98","WINTER STORM HIGH WIND"
"99","WINTER STORM HIGH WINDS"
"100","GUSTY WINDS"
"101","STRONG WINDS"
"102","FLOODING HEAVY RAIN"
"103","SNOW AND WIND"
"104","HEAVY SURF COASTAL FLOODING"
"105","HEAVY SURF"
"106","HEAVY PRECIPATATION"
"107","URBAN FLOODING"
"108","HIGH SURF"
"109","BLOWING DUST"
"110","URBAN SMALL"
"111","WILD FIRES"
"112","HIGH"
"113","URBAN SMALL FLOODING"
"114","WATER SPOUT"
"115","HIGH WINDS DUST STORM"
"116","LOCAL FLOOD"
"117","WINTER STORMS"
"118","MUDSLIDES"
"119","RAINSTORM"
"120","SEVERE THUNDERSTORM"
"121","SEVERE THUNDERSTORMS"
"122","SEVERE THUNDERSTORM WINDS"
"123","THUNDERSTORMS WINDS"
"124","DRY MICROBURST"
"125","FLOOD FLASH FLOOD"
"126","FLOOD RAIN WINDS"
"127","WINDS"
"128","THUNDERSTORMS"
"129","FLASH FLOOD WINDS"
"130","URBAN SMALL STREAM FLOODING"
"131","MICROBURST"
